what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529999426726
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529999428773
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1529999428791
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529999431792
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529999443383
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529999479031
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529999481563
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529999540260
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529999546837
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529999557997
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529999559978
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529999561786
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1529999563505
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1529999564038
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1529999570067
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1529999570088
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1529999570103
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1529999570127
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1529999570135
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1529999570185
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1529999570186
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1529999570373
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529999574007
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529999576548
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529999578833
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529999581953
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529999587723
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529999591322
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529999593468
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529999601180
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1529999606535
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1529999608708
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529999609075
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529999617460
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529999618267
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529999619286
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1529999622075
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1529999622897
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1529999623519
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1529999623603
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1529999625451
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1529999630130
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1529999631353
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1529999665720
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1529999690021
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529999736031
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1529999736047
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529999747341
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1529999748400
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.gotoLastEditPosition",1529999749545
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1529999753834
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1529999754277
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529999773792
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529999773883
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529999775680
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529999810977
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529999834033
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529999852145
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529999856515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529999856694
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529999856870
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530000292917
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.DebugLast",1530000296174
started,bundle,com.android.ide.eclipse.ddms,23.0.7.2120684,"com.android.ide.eclipse.ddms",1530000296274
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1530000300149
started,bundle,com.android.ide.eclipse.traceview,23.0.7.2120684,"com.android.ide.eclipse.traceview",1530000300833
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530000314654
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530000327007
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1530000381559
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1530000444920
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530000445161
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530000446985
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.DebugLast",1530000447839
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530000461375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530000462787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530000578469
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530000770588
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530000777952
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530000883059
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1530000892673
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1530000895685
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1530000895817
