what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529910421693
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529910425610
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1529910426914
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529910426943
executed,command,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.openFileSearchPage",1529910426962
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1529910444205
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1529910458859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529910459125
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1529910459136
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529910477709
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1529910493491
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529910493719
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1529910493733
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529910503698
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529910505657
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1529910505692
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529910514210
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529910517345
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529910517673
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1529910529613
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1529910531107
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1529910550339
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1529910550517
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1529910551062
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1529910552204
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1529910557348
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1529910568532
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1529910601281
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529910603828
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529910603915
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.DebugLast",1529910605122
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529910623186
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529910696911
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1529910732635
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1529910732655
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1529910733585
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1529910733586
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1529910734547
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529910738440
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529910740803
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529910747428
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1529910749610
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529910766164
