what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1530512429656
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1530512433837
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530512446355
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530512446438
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530512446997
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530512447081
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530512449122
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530512454006
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530512455153
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530512455713
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1530512458624
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1530512459199
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530512461497
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1530512462139
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1530512462155
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1530512462202
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1530512462282
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1530512462401
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1530512462439
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530512462574
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1530512462612
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530512464026
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530512465810
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1530512467935
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1530512468977
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530512471713
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530512483502
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530512485661
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530512486775
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1530512486819
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1530512490743
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530512497638
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530512503928
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530512509668
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530512511359
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1530512511394
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530512512737
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530512513380
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1530512513412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530512515605
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530512517330
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1530512517365
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1530512519515
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1530512523199
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530512525815
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530512527445
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1530512527454
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1530512528812
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.DebugLast",1530512529659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530512538557
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530512604931
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1530512605024
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1530512605966
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530512609777
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530512628532
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530512632012
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530512633714
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530512637453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530512637552
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530512641211
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530512683531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530512686508
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530512747931
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530512756343
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530512966000
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530512970806
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530512972215
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1530512974317
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530512981730
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530514159156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530514160697
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530514161987
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1530514166347
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1530514169760
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1530514169863
