what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530323027835
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530323029625
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530340483387
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530340484763
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530340491398
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530340553854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530340794128
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530340859316
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530492025014
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530492026092
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530493979882
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530493981180
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530495305032
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530495305970
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530495340424
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530495502297
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530495623940
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530495624962
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530495732022
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530495733987
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530499347173
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530499442516
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530499506925
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530499560916
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530499574656
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530499583466
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530499648163
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530499652545
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530499661612
activated,view,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1530499765738
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1530499765738
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1530499765812
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1530499765862
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1530499765927
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1530499789042
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530499880170
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530500052356
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1530500067644
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1530500067752
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530500072029
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1530500072059
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530500081290
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1530500085303
