what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"zh_CN",1530839520010
processors,sysinfo,,,"4",1530839520010
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1530839520010
java.runtime.version,sysinfo,,,"1.8.0_171-b11",1530839520010
java.specification.name,sysinfo,,,"Java Platform API Specification",1530839520010
java.specification.vendor,sysinfo,,,"Oracle Corporation",1530839520010
java.specification.version,sysinfo,,,"1.8",1530839520010
java.vendor,sysinfo,,,"Oracle Corporation",1530839520010
java.version,sysinfo,,,"1.8.0_171",1530839520010
java.vm.info,sysinfo,,,"mixed mode",1530839520010
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1530839520010
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1530839520010
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1530839520010
java.vm.specification.version,sysinfo,,,"1.8",1530839520010
java.vm.vendor,sysinfo,,,"Oracle Corporation",1530839520010
java.vm.version,sysinfo,,,"25.171-b11",1530839520010
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1530839520087
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1530839520088
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1530839520089
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1530839520090
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1530839520108
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1530839525135
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530840118678
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530840139404
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1530840312581
