what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529460486169
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529460486266
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1529460518092
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529460736928
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529460786113
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529460838058
opened,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1529460859722
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1529460859739
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529460859840
executed,command,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.openFileSearchPage",1529460859856
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529460868180
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529460871477
executed,command,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.openFileSearchPage",1529460871488
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1529460875240
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1529460875327
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529460885238
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529460961607
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1529460962534
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529460962793
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1529460962822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529460970165
