what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529718387149
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1529718390239
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529718390537
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1529718390568
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529718394416
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1529718395369
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529718397233
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529718399316
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1529718402034
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1529718402471
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529718405580
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529718451733
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1529718454696
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1529718454722
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1529718454776
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1529718454782
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1529718454809
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1529718454820
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1529718454913
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1529718454923
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1529718454967
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1529718454972
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1529718454984
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1529718454990
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1529718454992
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1529718455022
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1529718455026
started,bundle,com.android.ide.eclipse.ndk,23.0.7.2120684,"com.android.ide.eclipse.ndk",1529718455044
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1529718455070
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1529718455120
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.DebugLast",1529718455138
started,bundle,com.android.ide.eclipse.ddms,23.0.7.2120684,"com.android.ide.eclipse.ddms",1529718455283
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1529718460169
started,bundle,com.android.ide.eclipse.traceview,23.0.7.2120684,"com.android.ide.eclipse.traceview",1529718460286
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1529718460305
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1529718460306
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1529718460308
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529718471274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529718539269
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529718539399
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529718540847
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1529718540884
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1529718541788
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1529718545974
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529718547309
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1529718549657
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529719137791
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1529719137833
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529719138272
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529719139338
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529719141011
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529720905303
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1529720907097
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529720929783
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529720932639
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529720950338
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529720953896
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529720954890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529720955455
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1529720956857
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529720957120
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1529720957146
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529720974786
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1529720998904
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529720999086
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1529720999116
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529721013211
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1529721014078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529721014280
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1529721014290
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529721037023
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529721050187
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529721051807
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1529721054464
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1529721060361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529721064138
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529721064270
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529721064781
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529722760062
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529722760138
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529722760276
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529722761178
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529722762303
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529722762507
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1529722762927
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1529722762930
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1529722762934
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1529722762936
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1529722762938
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1529722762940
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1529722762942
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1529722762943
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1529722762947
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1529884638294
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1529884638328
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1529884638329
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1529884638330
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1529884638331
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1529884638331
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1529884638360
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1529884638361
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1529884638362
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1529884638363
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1529884638364
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1529884638366
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1529884638367
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1529884638368
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1529884638394
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1529884638395
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1529884638395
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1529884638397
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1529884638398
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1529884638398
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1529884638399
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1529884638400
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1529884638401
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1529884638402
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1529884638402
